af Afrikaans
ar Arabic
az Azeri
be Belarusian
bg Bulgarian
bn Bengali
bo Tibetan
br Breton
ca Catalan
cy Welsh
cs Czech
da Danish
de German
el Greek
eo Esperanto
es Spanish
et Estonian
eu Basque
fa Persian
fi Finnish
fo Faroese
fr French
ga Irish
gd Scottish Gaelic
gl Galician
gv Manx
he Hebrew
hi Hindi
ht Haitian Creole
hu Hungarian
hy Armenian
id Indonesian
is Icelandic
it Italian
ja Japanese
ka Georgian
ko Korean
ku Kurdish
la Latin
lb Luxembourgish
lo Klao
lt Lithuanian
lv Latvian
mi Maori
mk Macedonian
ml Malayalam
mn Mongolian
mr Marathi
ms Malay
ne Nepali
nl Dutch
no Norwegian
pa Punjabi
pl Polish
pt Portuguese
ro Romanian
ru Russian
sa Sanskrit
sh Serbo-Croatian
sk Slovak
sl Slovene
so Somali
sq Albanian
sv Swedish
sw Swahili
ta Tamil
tg Tajik
th Thai
tl Tagalog
tr Turkish
uk Ukrainian
ur Urdu
vi Vietnamese
yi Yiddish
zh Chinese
zu Zulu
cmn Mandarin
grc Ancient Greek
haw Hawaiian
yue Cantonese
